window,capture_start,capture_stop,usable_start,usable_stop,timestamp,center_frequency,noise_floor,average_power,minimum_power,peak_power,peak_frequency,dynamic_range,bin_width,fft_size,sample_rate,gain
83,149696946.16063547,152096946.16063547,149936946.16063547,151856946.16063547,2026-07-09T22:54:37.730685+00:00,150896946.16063547,33.12413421897678,32.29714681415936,-13.92107144320368,46.98980798866632,150288157.09813547,13.865673769689543,146.484375,16384,2400000.0,0.0
84,151232762.5772286,153632762.5772286,151472762.5772286,153392762.5772286,2026-07-09T22:54:37.789647+00:00,152432762.5772286,32.38240582012314,31.54287465126624,-5.289388337998659,60.98271989814698,153599950.0772286,28.600314078023843,146.484375,16384,2400000.0,0.0
85,152768578.9938217,155168578.9938217,153008578.9938217,154928578.9938217,2026-07-09T22:54:37.848085+00:00,153968578.9938217,31.843225256931465,30.99307081096799,-6.057782387965652,68.20292175308713,153600024.3063217,36.359696496155664,146.484375,16384,2400000.0,0.0
86,154304395.41041481,156704395.41041481,154544395.41041481,156464395.41041481,2026-07-09T22:54:37.907366+00:00,155504395.41041481,32.29589076340423,31.437179007905975,-7.603327210160735,48.050973281488936,154920069.23853981,15.755082518084706,146.484375,16384,2400000.0,0.0
87,155840211.82700795,158240211.82700795,156080211.82700795,158000211.82700795,2026-07-09T22:54:37.967574+00:00,157040211.82700795,33.04111757567247,32.15839825989347,-3.0961355449980017,46.59737034001403,157840309.48325795,13.556252764341558,146.484375,16384,2400000.0,0.0
88,157376028.24360105,159776028.24360105,157616028.24360105,159536028.24360105,2026-07-09T22:54:38.026511+00:00,158576028.24360105,33.074622960943714,32.17041100948521,-14.432481915676771,46.11254935642164,159398098.55610105,13.037926395477925,146.484375,16384,2400000.0,0.0
89,158911844.66019416,161311844.66019416,159151844.66019416,161071844.66019416,2026-07-09T22:54:38.086286+00:00,160111844.66019416,32.91224843963251,32.05677069061045,-0.8359465974145408,45.351020850689814,160877664.97269416,12.4387724110573,146.484375,16384,2400000.0,0.0
90,160447661.0767873,162847661.0767873,160687661.0767873,162607661.0767873,2026-07-09T22:54:38.144544+00:00,161647661.0767873,32.80477630885858,31.988706066521736,-18.04964838819456,46.26207998101337,161749467.7174123,13.457303672154794,146.484375,16384,2400000.0,0.0
91,161983477.4933804,164383477.4933804,162223477.4933804,164143477.4933804,2026-07-09T22:54:38.203064+00:00,163183477.4933804,32.070566269000665,31.2461907557293,-25.88240539762948,65.99073600696805,163200030.2277554,33.920169737967385,146.484375,16384,2400000.0,0.0
92,163519293.9099735,165919293.9099735,163759293.9099735,165679293.9099735,2026-07-09T22:54:38.261297+00:00,164719293.9099735,31.795302270580116,30.929063484202842,-10.055920986875819,44.031579934704595,164163239.2224735,12.23627766412448,146.484375,16384,2400000.0,0.0
