Frequency,Service,System,Site,License,County,State
452.85,IG,Omi Refractories Llc Dba Bisco Refractories,-,-,Jefferson,AL
452.875,IG,Csx Transportation Inc,-,-,Mobile,AL
452.8875,IG,Mcwane Science Center,-,-,Jefferson,AL
452.9,IG,Csx Transportation Inc,-,-,Montgomery,AL
452.9125,IG,Csx Transportation Inc,-,-,Montgomery,AL
452.925,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
452.9375,IG,Norfolk Southern Railway Company,-,-,Jefferson,AL
452.95,IG,Csx Transportation Inc,-,-,Jefferson,AL
452.9625,IG,Bnsf Railway Co.,-,-,Jefferson,AL
452.9875,IG,Mcwane Science Center,-,-,Jefferson,AL
453,IG,Amerex Corporation,-,-,Jefferson,AL
453.0125,YG,Mobile Communications America Inc,-,-,Jefferson,AL
453.375,PW,Birmingham Jefferson Convention Complex,-,-,Jefferson,AL
453.4125,PW,Birmingham Jefferson Convention Complex,-,-,Jefferson,AL
453.575,PW,Birmingham Jefferson Convention Complex,-,-,Jefferson,AL
453.775,PW,Birmingham Jefferson Convention Complex,-,-,Jefferson,AL
453.85,PW,Birmingham Jefferson Convention Complex,-,-,Jefferson,AL
453.925,PW,Birmingham Jefferson Convention Complex,-,-,Jefferson,AL
455.01,RP,Radio License Holding Cbc Llc,-,-,Jefferson,AL
455.0875,RP,Radio License Holding Cbc Llc,-,-,Jefferson,AL
455.1125,RP,Radio License Holding Cbc Llc,-,-,Jefferson,AL
455.15,RP,Nexstar Media Inc.,-,-,Jefferson,AL
455.1625,RP,Wvtm Hearst Television Inc.,-,-,Jefferson,AL
455.2975,RP,Ttwn Networks Llc,-,-,Jefferson,AL
455.3325,RP,Ttwn Networks Llc,-,-,Jefferson,AL
455.35,RP,Radio License Holding Cbc Llc,-,-,Jefferson,AL
455.4125,RP,Radio License Holding Cbc Llc,-,-,Jefferson,AL
455.5625,RP,Wvtm Hearst Television Inc.,-,-,Jefferson,AL
455.6025,RP,Wvtm Hearst Television Inc.,-,-,Jefferson,AL
